Function name (including params),Section,Is it on PostGIS function,Note,Support level,PostGIS Gaps,Can we support it,In Plain English,ID
"ST_SimplifyPreserveTopology(p_geog geography, p_tolerance double precision)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Shim. Delegates to `ST_Simplify` (true topology preservation requires GEOS).,Shim,"PostGIS uses GEOS for true topology-preserving simplification on the sphere. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.","Possible by Adding C library (GEOS, PROJ, GDAL..etc)",Make this shape smaller without accidentally making lines cross each other.,98
"ST_Simplify(p_geog geography, p_tolerance double precision)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Geography shim — delegates to geometry ST_Simplify.,Shim,"PostGIS computes simplification along the sphere. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.","Possible by Adding C library (GEOS, PROJ, GDAL..etc)",Remove unnecessary zig-zags from this shape to make it smoother and smaller.,99
"ST_Buffer(p_geog geography, p_distance_m double precision, p_segments integer DEFAULT 8)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Point: generates circular polygon. Polygon: offsets vertices along bisector normals. Approximate.,Shim,"PostGIS dynamically buffers along the curvature of the Earth. YB: calculates a degree-offset and casts to geometry using flat 2D math, resulting in distorted ovals on the globe.","Possible by Adding C library (GEOS, PROJ, GDAL..etc)",Draw a border exactly 5 miles outward around this entire shape.,100
"ST_Crosses(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,True if geometries have partial interior intersection at lower dimensions.,Shim,"PostGIS computes this using true spherical/ellipsoidal math via GEOS. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.","Possible by Adding C library (GEOS, PROJ, GDAL..etc)",Does this line slice completely through this polygon?,101
"ST_Overlaps(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,True if same-dimension geometries partially overlap and neither contains the other.,Shim,"PostGIS computes this using true spherical/ellipsoidal math via GEOS. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.","Possible by Adding C library (GEOS, PROJ, GDAL..etc)",Do these two polygons partially cover each other like a Venn diagram?,102
"ST_Touches(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,True if boundaries contact but interiors do not overlap.,Shim,"PostGIS computes this using true spherical/ellipsoidal math via GEOS. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.","Possible by Adding C library (GEOS, PROJ, GDAL..etc)",Do the borders of these two shapes touch without overlapping?,103
"ST_Equals(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Topological equality. For polygons: mutual containment. For lines/points: same vertices in any order.,Shim,"PostGIS computes this using true spherical/ellipsoidal math via GEOS. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.","Possible by Adding C library (GEOS, PROJ, GDAL..etc)",Are these two shapes physically identical in space?,104
"ST_Disjoint(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,"""Are they completely separate?""",Shim,"PostGIS computes this using true spherical/ellipsoidal math via GEOS. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.","Possible by Adding C library (GEOS, PROJ, GDAL..etc)",Are these two shapes completely separate (not touching at all)?,105
"geohash_encode(p_lat double precision, p_lon double precision, p_precision integer DEFAULT 10)",Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Encodes coordinates to a geohash string (default precision 10).,N/A (YB Custom),,,"Convert this Latitude/Longitude into a short string (e.g., ""9x0qs"").",106
"geohash_adjacent(p_hash text, p_dir text)",Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Returns the neighboring geohash cell in direction `n`/`s`/`e`/`w`.,N/A (YB Custom),,,What is the Geohash string for the square immediately North/South/East/West of this one?,107
geohash_neighbors(p_hash text),Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Returns all 8 surrounding cells as JSONB.,N/A (YB Custom),,,Give me the Geohash strings for all 8 squares surrounding this one.,108
geohash_precision_for_miles(p_miles double precision),Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Returns the highest geohash precision whose cell height fits the given radius.,N/A (YB Custom),,,What size Geohash square do I need to cover a 5-mile area?,109
geohash_cell_height_miles(p_precision integer),Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Returns cell height in miles for precision 1-10.,N/A (YB Custom),,,How many miles tall is a Geohash square of this precision?,110
"geohash_move(p_hash text, p_dir text, p_steps integer)",Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Moves N steps in a cardinal direction.,N/A (YB Custom),,,What is the Geohash string if I move 5 squares North?,111
"geohash_in_list_within_miles(p_source_geohash text, p_miles double precision )",Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Generates a SQL IN-clause string of all geohash cells covering a given radius.,N/A (YB Custom),,,Give me a massive list of all the Geohash squares that cover this 5-mile circle.,112
"geohash_in_list_within_miles_dir(p_source_geohash text, p_miles double precision, p_dirs text[] )",Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Directional version — only expands in specified directions.,N/A (YB Custom),,,Give me a list of all Geohash squares 5 miles North of here.,113
geohash_decode_bbox(p_geohash text),Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),"Decodes a geohash to its bounding box `(lat_min, lat_max, lon_min, lon_max)`.",N/A (YB Custom),,,Give me the exact Lat/Lon corners of this Geohash square.,114
geohash_decode_bbox_geom(p_geohash text),Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),"Same, but returns the bbox as a polygon geometry.",N/A (YB Custom),,,Draw a rectangle shape representing this Geohash square.,115
geohash_cell_center(p_geohash text),Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Returns the center point of a geohash cell.,N/A (YB Custom),,,Give me the exact Lat/Lon of the dead center of this Geohash square.,116
geohash_cell_center_geom(p_geohash text),Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Returns the center point of a geohash cell.,N/A (YB Custom),,,Draw a Point shape at the dead center of this Geohash square.,117
"point_in_polygon(p_lon double precision, p_lat double precision, p_poly_lon double precision[], p_poly_lat double precision[])",Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Ray-casting algorithm. Custom YB function (not in PostGIS).,N/A (YB Custom),,,Shoot a math ray to see if this dot is inside this shape borders.,118
"point_in_polygon(p_point geometry, p_polygon geometry)",Section 4: GeohashFunctions.sql - Define the geohash functions,No (YB custom),Ray-casting algorithm. Custom YB function (not in PostGIS).,N/A (YB Custom),,,Shoot a math ray to see if this dot is inside this shape borders.,119
ST_XMin(p_lon double precision[]),Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,Minimum longitude.,Supported,,,What is the furthest West this shape goes?,120
ST_XMin(p_geom geometry),Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,Minimum longitude.,Supported,,,What is the furthest West this shape goes?,121
ST_XMax(p_lon double precision[]),Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,Maximum longitude.,Supported,,,What is the furthest East this shape goes?,122
ST_XMax(p_geom geometry),Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,Maximum longitude.,Supported,,,What is the furthest East this shape goes?,123
ST_YMin(p_lat double precision[]),Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,Minimum latitude.,Supported,,,What is the furthest South this shape goes?,124
ST_YMin(p_geom geometry),Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,Minimum latitude.,Supported,,,What is the furthest South this shape goes?,125
ST_YMax(p_lat double precision[]),Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,Maximum latitude.,Supported,,,What is the furthest North this shape goes?,126
ST_YMax(p_geom geometry),Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,Maximum latitude.,Supported,,,What is the furthest North this shape goes?,127
"ST_Translate(p_lon double precision[], p_lat double precision[], p_dx double precision, p_dy double precision)",Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,"Shifts all vertices by (dx, dy). Array overload returns TABLE.",Supported,,,Shift this entire shape 5 miles North and 2 miles East.,128
"ST_Translate(p_geom geometry, p_dx double precision, p_dy double precision)",Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,"Shifts all vertices by (dx, dy). Array overload returns TABLE.",Supported,,,Shift this entire shape 5 miles North and 2 miles East.,129
"lm__on_segment(sx1 double precision, sy1 double precision, sx2 double precision, sy2 double precision, px double precision, py double precision)",Section 5: GeometryFunctions.sql - Define the geometry functions,No (internal helper),Segment intersection helpers using orientation / cross-product method.,Internal Helper,,,Checks if a specific point sits exactly on top of a line segment.,130
"lm__segments_cross(ax1 double precision, ay1 double precision, ax2 double precision, ay2 double precision, bx1 double precision, by1 double precision, bx2 double precision, by2 double precision)",Section 5: GeometryFunctions.sql - Define the geometry functions,No (internal helper),Segment intersection helpers using orientation / cross-product method.,Internal Helper,,,Checks if two line segments cross each other like an X.,131
"ST_Intersects(p_lon_a double precision[], p_lat_a double precision[], p_lon_b double precision[], p_lat_b double precision[])",Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,True if A and B share any space. Tests vertex containment + edge crossing.,Partial,"PostGIS uses GEOS DE-9IM with spatial index support; handles all geometry types. YB: simple polygons only, no multi-geometry, no holes, uses vertex-containment + edge-crossing.",posible to fix the flat earth thing by adding library but Geohash is hard to work on non-point data,"Do these two shapes touch, cross, or overlap each other in any way?",132
"ST_Intersects(p_a geometry, p_b geometry)",Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,True if A and B share any space. Tests vertex containment + edge crossing.,Partial,"PostGIS uses GEOS DE-9IM with spatial index support; handles all geometry types. YB: simple polygons only, no multi-geometry, no holes, uses vertex-containment + edge-crossing.",posible to fix the flat earth thing by adding library but Geohash is hard to work on non-point data,"Do these two shapes touch, cross, or overlap each other in any way?",133
"ST_Contains(p_lon_a double precision[], p_lat_a double precision[], p_lon_b double precision[], p_lat_b double precision[])",Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,True if A completely contains B and their interiors share at least one point.,Partial,"PostGIS uses GEOS DE-9IM; handles all geometry types including Multi*, holes, and mixed dimensions. YB: simple polygons only, no multi-geometry, no holes, uses ray-casting + edge check.",posible to fix the flat earth thing by adding library but Geohash is hard to work on non-point data,Is shape B completely swallowed up inside shape A?,134
"ST_Contains(p_a geometry, p_b geometry)",Section 5: GeometryFunctions.sql - Define the geometry functions,Yes,True if A completely contains B and their interiors share at least one point.,Partial,"PostGIS uses GEOS DE-9IM; handles all geometry types including Multi*, holes, and mixed dimensions. YB: simple polygons only, no multi-geometry, no holes, uses ray-casting + edge check.",posible to fix the flat earth thing by adding library but Geohash is hard to work on non-point data,Is shape B completely swallowed up inside shape A?,135
ST_X(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Returns longitude / latitude of a point (first vertex).,Supported in 2D,,,Get the Longitude (East/West) coordinate of this point.,136
ST_Y(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Returns longitude / latitude of a point (first vertex).,Supported in 2D,,,Get the Latitude (North/South) coordinate of this point.,137
ST_NPoints(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Returns number of vertices.,Supported in 2D,,,How many total coordinates make up this shape?,138
GeometryType(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"Returns 'POINT', 'LINESTRING', 'POLYGON', or 'EMPTY'.",Supported in 2D,,,"Tell me if this is a Point, Line, or Polygon.",139
ST_GeometryType(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"Returns 'ST_Point', 'ST_LineString', or 'ST_Polygon'.",Supported in 2D,,,"Tell me if this is a Point, Line, or Polygon.",140
ST_StartPoint(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,First / last vertex as a point geometry.,Supported in 2D,,,What is the very first coordinate of this line?,141
ST_EndPoint(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,First / last vertex as a point geometry.,Supported in 2D,,,What is the very last coordinate of this line?,142
"ST_PointN(p_geom geometry, p_n integer)",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Nth vertex (1-based) as a point.,Supported in 2D,,,What is the 5th coordinate of this line?,143
ST_IsClosed(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,True if first vertex equals last vertex.,Supported in 2D,,,Does the start of this line perfectly connect back to the end of the line?,144
ST_IsEmpty(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,True if no vertices.,Supported in 2D,,,Does this shape have zero coordinates?,145
ST_Envelope(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Returns the bounding box (2d) as a polygon geometry.,Supported in 2D,,,Give me the rectangular bounding box for this specific shape.,146
"ST_MakeLine(p_a geometry, p_b geometry)",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Creates a linestring from two points or an array of points. (might not be a straight line),Supported in 2D,,,Connect these points together to draw a line.,147
ST_MakeLine(p_points geometry[]),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Creates a linestring from two points or an array of points. (might not be a straight line),Supported in 2D,,,Connect these points together to draw a line.,148
ST_Reverse(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Reverses vertex order.,Supported in 2D,,,Flip the order of the coordinates so the line goes backwards.,149
ST_FlipCoordinates(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Swaps lon and lat.,Supported in 2D,,,Swap Latitude and Longitude (fixes data loaded backwards).,150
"ST_Within(p_lon_a double precision[], p_lat_a double precision[], p_lon_b double precision[], p_lat_b double precision[])",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,`ST_Contains` with arguments swapped. If something is inside something.,Shim,,,Is shape A completely swallowed up inside shape B?,151
"ST_Within(p_a geometry, p_b geometry)",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,`ST_Contains` with arguments swapped. If something is inside something.,Shim,,,Is shape A completely swallowed up inside shape B?,152
"ST_Disjoint(p_lon_a double precision[], p_lat_a double precision[], p_lon_b double precision[], p_lat_b double precision[])",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"""Are they completely separate?""",Shim,,,Are these two shapes completely separate (not touching at all)?,153
"ST_Disjoint(p_a geometry, p_b geometry)",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"""Are they completely separate?""",Shim,,,Are these two shapes completely separate (not touching at all)?,154
"ST_Area(p_lon double precision[], p_lat double precision[])",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Shoelace formula. Returns square degrees (planar). Return the Area,Partial,"PostGIS supports complex polygons with holes (inner rings) and MultiPolygons. YB: simple solid polygons only, no multi-geometry.",possible with C libraries,How big is the inside of this shape?,155
ST_Area(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Shoelace formula. Returns square degrees (planar). Return the Area,Partial,"PostGIS supports complex polygons with holes (inner rings) and MultiPolygons. YB: simple solid polygons only, no multi-geometry.",possible with C libraries,How big is the inside of this shape?,156
"ST_Azimuth(p_a geometry, p_b geometry)",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"Bearing in radians from A to B, clockwise from north. It return an angle",Partial,PostGIS enforces input type checking (fails if input is a polygon). YB: ignores shape type and blindly computes bearing between the first coordinates in the arrays.,possible with C libraries,"If I stand at point A and look at point B, what compass direction am I facing?",157
"lm__signed_area(p_lon double precision[], p_lat double precision[])",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,No (internal helper),"Signed area. Positive = CCW, negative = CW (clockwise). If neither return 0.",Internal Helper,,,Calculates area to determine if a shape was drawn clockwise or counter-clockwise.,158
ST_IsPolygonCCW(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Tests winding order.,Partial,"PostGIS validates that the outer boundary is CCW and all inner holes are CW. YB: single simple array only, no holes.","Possible, by building a C-extension geometry type. A proper GSERIALIZED struct supports inner rings, allowing the algorithm to validate the winding order of the full polygon hierarchy.",Is the border of this polygon drawn counter-clockwise?,159
ST_IsPolygonCW(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Tests winding order.,Partial,"PostGIS validates that the outer boundary is CW and all inner holes are CCW. YB: single simple array only, no holes.","Possible, by building a C-extension geometry type. A proper struct allows validation across outer boundaries and inner holes.",Is the border of this polygon drawn clockwise?,160
ST_ForcePolygonCCW(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"Forces winding order by reversing if needed. If originally not CCW / CW, nothing it returned",Partial,"PostGIS forces the outer boundary to CCW and all inner holes to CW. YB: simply reverses the single array, no holes support.","Possible, by building a C-extension geometry type. The C implementation can iterate over the outer shell and all inner rings to force the OGC-compliant winding order.",Force the border of this polygon to be drawn counter-clockwise.,161
ST_ForcePolygonCW(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"Forces winding order by reversing if needed. If originally not CCW / CW, nothing it returned",Partial,"PostGIS forces the outer boundary to CW and all inner holes to CCW. YB: simply reverses the single array, no holes support.","Possible, by building a C-extension geometry type. The C implementation can iterate over the outer shell and all inner rings to force the correct winding order.",Force the border of this polygon to be drawn clockwise.,162
"ST_Scale(p_lon double precision[], p_lat double precision[], p_sx double precision, p_sy double precision)",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"Scales coordinates by factors. (from 0,0)",Partial,"PostGIS scales complex shapes (MultiPolygons, holes) and supports 3D/M scaling factors (p_sz, p_sm). YB: scales a single 2D array only.","Possible, by building a C-extension geometry type. A C struct allows iterating over and scaling all parts of a complex, multi-dimensional geometry.",Stretch or shrink this shape by a specific multiplier.,163
"ST_Scale(p_geom geometry, p_sx double precision, p_sy double precision)",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"Scales coordinates by factors. (from 0,0)",Partial,"PostGIS scales complex shapes (MultiPolygons, holes) and supports 3D/M scaling factors (p_sz, p_sm). YB: scales a single 2D array only.","Possible, by building a C-extension geometry type. A C struct allows iterating over and scaling all parts of a complex, multi-dimensional geometry.",Stretch or shrink this shape by a specific multiplier.,164
"ST_PointInsideCircle(p_point geometry, p_cx double precision, p_cy double precision, p_r double precision)",Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,Euclidean point-in-circle test. Boolean,Partial,PostGIS enforces input type checking (fails if input is not a Point). YB: ignores shape type and blindly computes distance using the first coordinate in the array.,"Possible, by building a C-extension geometry type. A GSERIALIZED type includes a header byte identifying the shape (Point=1, Polygon=3), allowing strict type validation before execution.",Is this point inside a circle with this specific center and radius?,165
ST_AsText(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"Returns WKT: POINT(x y), LINESTRING(x1 y1, x2 y2), or POLYGON((x1 y1, ..., x1 y1)).",Partial,"PostGIS outputs WKT for all OGC types (Multi*, GeometryCollection, 3D). YB: Point/LineString/Polygon only.","Possible, by adding C struct","Convert this shape into readable text, like ""POINT(-111 40)"".",166
ST_AsGeoJSON(p_geom geometry),Section 6: Tier1_GeometryFunctions.sql - Define the tier 1 geometry functions,Yes,"Returns GeoJSON: {""type"":""Point"",""coordinates"":[x,y]}.",Partial,"PostGIS outputs GeoJSON for all OGC types including Feature/FeatureCollection, CRS, bbox, and 3D. YB: Point/LineString/Polygon only, no Feature wrapper.","Possible, by adding C struct",Convert this shape into JSON format for web maps.,167
"lm__point_segment_dist(px double precision, py double precision, ax double precision, ay double precision, bx double precision, b_y double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,No (internal helper),Minimum distance from point to line segment.,Internal Helper,,,Finds the shortest distance from a single point to a line segment.,168
"ST_Distance(p_a geometry, p_b geometry)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Minimum planar distance (degree units). Computes point-to-point and point-to-segment distances.,Supported in 2D,"PostGIS supports complex shapes (MultiPolygons, GeometryCollections). YB: simple solid polygons only, no multi-geometry.","Possible, by linking the GEOS C-library. GEOS distance algorithms natively handle multi-geometries and complex shapes.",What is the shortest straight-line distance between shape A and shape B?,169
ST_Length(p_geom geometry),Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Planar sum of segment lengths (degrees).,Supported in 2D,"PostGIS supports MultiLineStrings (e.g., shattered river systems) and 3D lengths. YB: single 2D LineStrings only.","Possible, by building a C-extension geometry type. A proper struct allows iterating over all parts of a MultiLineString and including Z-coordinates.","If I walked from the start of this line to the end, how far is it?",170
ST_Perimeter(p_geom geometry),Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Closed ring perimeter (degrees).,Supported in 2D,"PostGIS supports MultiPolygons and polygons with holes (inner rings), summing all boundaries. YB: single outer boundary only.","Possible, by building a C-extension geometry type. A proper struct allows iterating over and summing the perimeters of the outer shell and all inner holes.",How long is the outer fence around this shape?,171
ST_Centroid(p_geom geometry),Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Geometric center. Points: identity. Lines: midpoint. Polygons: weighted centroid via shoelace sums.,Partial,"PostGIS handles all geometry types (Multi*, GeometryCollection, curves); for mixed dimensions, returns centroid of highest-dimension components. YB: simple polygons only via shoelace, no multi-geometry.",,Where is the exact center of gravity (the dead middle) of this shape?,172
"ST_Distancesphere(p_a geometry, p_b geometry)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Haversine / Vincenty distance in meters.,partial,PostGIS calculates spherical distance between complex shapes (lines/polygons). YB: ignores full shapes and only calculates distance between the first coordinates (lon[1]/lat[1]) of the arrays.,"Possible, by linking the PROJ/GeographicLib C-library. GeographicLib calculates exact geodesic distances and naturally handles complex geometries if passed via a standard C struct.",What is the shortest distance between A and B curving along the Earth?,173
"ST_DWithin(p_a geometry, p_b geometry, p_distance double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,True if planar distance <= threshold.,partial,"PostGIS uses a GiST (R-Tree) index for massive performance gains, and its distance math handles multi-geometries/holes. YB: forces full-table scans for lines/polygons, and math is limited to single, solid 2D boundaries.",Possible for math (C-struct + GEOS). Requires core database changes for indexing. Linking GEOS fixes the math/shape limitations. Geohash can hack this one,Are these two shapes within X miles of each other?,174
lm__line_total_length(p_geom geometry),Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,No (internal helper),Total line length for linear referencing.,Internal Helper,,,Adds up the length of all the little segments that make up a line.,175
"ST_Simplify(p_geom geometry, p_tolerance double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Douglas-Peucker algorithm. Iterative stack-based implementation.,Partial,"PostGIS Douglas-Peucker handles all geometry types; has preserveCollapsed param. YB: correct DP algorithm but no multi-geometry, no topology preservation (would require GEOS).",,Remove unnecessary zig-zags from this shape to make it smoother and smaller.,176
"ST_Simplify(p_geom geometry, p_tolerance double precision, p_preserve_collapsed boolean)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Douglas-Peucker algorithm. Iterative stack-based implementation.,Partial,"PostGIS Douglas-Peucker handles all geometry types; has preserveCollapsed param. YB: correct DP algorithm but no multi-geometry, no topology preservation (would require GEOS).",,Remove unnecessary zig-zags from this shape to make it smoother and smaller.,177
"ST_Simplify(p_geom geometry, p_tolerance numeric, p_preserve_collapsed boolean)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Douglas-Peucker algorithm. Iterative stack-based implementation.,Partial,"PostGIS Douglas-Peucker handles all geometry types; has preserveCollapsed param. YB: correct DP algorithm but no multi-geometry, no topology preservation (would require GEOS).",,Remove unnecessary zig-zags from this shape to make it smoother and smaller.,178
"ST_LineInterpolatePoint(p_geom geometry, p_fraction double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Returns the point at a given fraction (0..1) along a line.,Partial,PostGIS Douglas-Peucker handles all geometry types...,C library,"If I travel 50% down this line, where exactly am I?",179
"ST_LineLocatePoint(p_line geometry, p_point geometry)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Returns the fraction (0..1) of the closest point on the line. (so there will be a T),Partial,"Accepts the preserveCollapsed param but ignores it, delegating to the 2-arg version.",C library,What percentage of the way down this line is closest to my location?,180
"ST_LineSubstring(p_geom geometry, p_start_frac double precision, p_end_frac double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Extracts a sub-line between two fractions.,Partial,"Accepts the preserveCollapsed param but ignores it, delegating to the 2-arg version.",C library,Cut a piece out of this line starting at 10% and ending at 90%.,181
ST_GeomFromText(p_wkt text),Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,"Parses WKT strings. Supports POINT, LINESTRING, POLYGON (no holes, no multi-geometries).",Partial,"PostGIS parses all WKT types (Multi*, GeometryCollection, curves, 3D). YB: POINT/LINESTRING/POLYGON only, no multi-geometry, no holes, no 3D.",Yes,"Read a text string like ""POINT(-111 40)"" and turn it into a database shape.",182
ST_GeomFromGeoJSON(p_json text),Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,"Parses GeoJSON Point, LineString, Polygon. Same thing as above but parse JSON",Partial,"PostGIS parses all GeoJSON types including Multi*, GeometryCollection, 3D; accepts text/json/jsonb. YB: Point/LineString/Polygon only, no multi-geometry, text input only.",Yes,Read a JSON object and turn it into a database shape.,183
"ST_Rotate(p_geom geometry, p_angle double precision, p_cx double precision DEFAULT 0, p_cy double precision DEFAULT 0)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,2D rotation around a center point.,Supported in 2D,PostGIS rotates complex multi-geometries and holes. YB: rotates a single 2D array only.,"Possible, by building a C-extension geometry type. A proper struct allows iterating over all parts of a MultiGeometry/hole hierarchy.",Spin this shape around a center point.,184
"ST_Affine(p_geom geometry, p_a double precision, p_b double precision, p_d double precision, p_e double precision, p_xoff double precision, p_yoff double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,General 2D affine transform. x' = a*x + b*y + xoff; y' = d*x + e*y + yoff,Supported in 2D,"PostGIS supports full 3D affine transformations and applies them across complex multi-geometries. YB: 2D only, simple single array.","Possible, by building a C-extension geometry type. A proper struct allows iterating over all parts of a complex shape, and adding 3D math parameters.","Apply complex math to shift, scale, and rotate this shape all at once.",185
ST_DumpPoints(p_geom geometry),Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,"Returns each vertex as `(path integer[], geom geometry)`.",Supported in 2D,"PostGIS returns a path array that explicitly tells you where the vertex came from (e.g., Polygon 1, Inner Ring 2, Vertex 5). YB: The path is just [1], [2] because there is no hierarchy to report.","Possible, by building a C-extension geometry type. A proper GSERIALIZED struct tracks the hierarchy of rings and collections, allowing the dump function to populate the full path array correctly.",Extract every single point out of a complex shape and return them as individual rows.,186
